"Advanced Accele. Ads","2017-03-31T00:00:00","AAAP","Advanced Accele. Ads"
"American Airlines Gp","2017-03-31T00:00:00","AAL","American Airlines Gp"
"Atlantic Amer Cp","2017-03-31T00:00:00","AAME","Atlantic Amer Cp"
"Applied Optoelect Cmn","2017-03-31T00:00:00","AAOI","Applied Optoelect Cmn"
"Aaon Inc","2017-03-31T00:00:00","AAON","Aaon Inc"
"Atlantic Alliance Or","2017-03-31T00:00:00","AAPC","Atlantic Alliance Or"
"Apple Inc","2017-03-31T00:00:00","AAPL","Apple Inc"
"Atlas Air Ww","2017-03-31T00:00:00","AAWW","Atlas Air Ww"
"Ishares MSCI Aca X-Japan","2017-03-31T00:00:00","AAXJ","Ishares MSCI Aca X-Japan"
"Aoxin Tianli Grp","2017-03-31T00:00:00","ABAC","Aoxin Tianli Grp"
"Abaxis Inc","2017-03-31T00:00:00","ABAX","Abaxis Inc"
"Ameris Bancorp","2017-03-31T00:00:00","ABCB","Ameris Bancorp"
"Cambium Learning Grp","2017-03-31T00:00:00","ABCD","Cambium Learning Grp"
"Advisory Board Co","2017-03-31T00:00:00","ABCO","Advisory Board Co"
"Alcentra Capital Com","2017-03-31T00:00:00","ABDC","Alcentra Capital Com"
"Abeona Therapeutics","2017-03-31T00:00:00","ABEO","Abeona Therapeutics"
"Abeona Thera Wts","2017-03-31T00:00:00","ABEOW","Abeona Thera Wts"
"Ability Inc","2017-03-31T00:00:00","ABIL","Ability Inc"
"Arca Biopharma Inc","2017-03-31T00:00:00","ABIO","Arca Biopharma Inc"
"Abiomed Inc","2017-03-31T00:00:00","ABMD","Abiomed Inc"
"Autobytel Inc","2017-03-31T00:00:00","ABTL","Autobytel Inc"
"Allegiance Banc CS","2017-03-31T00:00:00","ABTX","Allegiance Banc CS"
"Arbutus Biopharma Cp","2017-03-31T00:00:00","ABUS","Arbutus Biopharma Cp"
"Atlantica Yield Plc","2017-03-31T00:00:00","ABY","Atlantica Yield Plc"
"Acadia Pharmaceutica","2017-03-31T00:00:00","ACAD","Acadia Pharmaceutica"
"Arctic Cat Inc","2017-03-06T00:00:00","ACAT","Arctic Cat Inc"
"Atlantic Capital Cmn","2017-03-31T00:00:00","ACBI","Atlantic Capital Cmn"
"Aceto Cp","2017-03-31T00:00:00","ACET","Aceto Cp"
"Atlantic Coast Finl","2017-03-31T00:00:00","ACFC","Atlantic Coast Finl"
"Arch Capital Grp Ltd","2017-03-31T00:00:00","ACGL","Arch Capital Grp Ltd"
"Arch Capital Group Ltd","2017-03-31T00:00:00","ACGLP","Arch Capital Group Ltd"
"Acadia Healthcr Co","2017-03-31T00:00:00","ACHC","Acadia Healthcr Co"
"Achillion Pharmaceut","2017-03-31T00:00:00","ACHN","Achillion Pharmaceut"
"Acacia Communica Cmn","2017-03-31T00:00:00","ACIA","Acacia Communica Cmn"
"AC Immune Sa","2017-03-31T00:00:00","ACIU","AC Immune Sa"
"Aci Worldwide Inc","2017-03-31T00:00:00","ACIW","Aci Worldwide Inc"
